JLCPCB BOM Tool - BOM Matching,,,,,,,,,,,,,,,,,
BOM name?BOM_JLCPCB-JLCPCB Assembly Order.xlsx,,,Download Time?2025-11-09 14:42:09,,,,"* Our matching results are updated in real-time, but stock and prices may change. 
If it's been over 24 hours, please re-match before placing your order.",,,,,,,,,,
PCB Assembled Qty?5,,,Est. Total Price?5.9803,,,,,,,,,,,,,,
Your BOM,,,,,Matched Parts,,,,,,,Order Information,,,,,
Top Designator,Bottom Designator,Comment,Footprint,JLCPCB Part #,Matches,Part # ,Manufacturer,Footprint,Description,Category,Warning,JLCPCB Part #,Product link,Lib Type,Qty,Source,Total Price ($)
"C1,C10",,1uF,0402,,Select by System,CL05A105KA5NQNC,Samsung Electro-Mechanics,0402,1uF 25V X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C52923,https://jlcpcb.com/partdetail/53938-CL05A105KA5NQNC/C52923,Basic,4,4 JLCPCB,0.0116
"C8,C6,C5,C4,C2,C7,C11,C9,C12,C17,C3",,0.1uF,0402,,Select by System,CL05B104KO5NNNC,Samsung Electro-Mechanics,0402,100nF 16V X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C1525,https://jlcpcb.com/partdetail/1877-CL05B104KO5NNNC/C1525,Basic,22,22 JLCPCB,0.0264
"C13,C14",,10uF,0603,,Select by System,CL10A106KP8NNNC,Samsung Electro-Mechanics,0603,10V 10uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C19702,https://jlcpcb.com/partdetail/20411-CL10A106KP8NNNC/C19702,Basic,4,4 JLCPCB,0.0224
"C16,C15",,33pF,0402,,Select by System,0402CG330J500NT,FH (Guangdong Fenghua Advanced Tech),0402,33pF 50V C0G ±5% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C1562,https://jlcpcb.com/partdetail/1914-0402CG330J500NT/C1562,Basic,4,4 JLCPCB,0.004
J1,,USB_C_Receptacle_USB2.0_14P,SMD,,Select by System,TYPE-C-31-M-12,Korean Hroparts Elec,SMD,1 16P 5A Female Type-C SMD USB Connectors ROHS,USB Connectors,,C165948,https://jlcpcb.com/partdetail/Korean_HropartsElec-TYPE_C_31_M12/C165948,Extended,2,2 JLCPCB,0.3388
"J3,J2",,Conn_01x20,"??,P=2.54mm",,Select by System,2.54-1*20P??,BOOMELE(Boom Precision Elec),"??,P=2.54mm","-40?~+105? 1 1x20P 2.54mm 20P 3A Black Brass Pin Header Through Hole Plugin,P=2.54mm Pin Headers ROHS",Pin Headers,,C50981,https://jlcpcb.com/partdetail/51993-2_54_1_20P/C50981,Extended,4,4 JLCPCB,0.41
J4,,Conn_01x03,"??,P=2.54mm",,Select by System,2.54-1*3P?,BOOMELE(Boom Precision Elec),"??,P=2.54mm","-40?~+105? 1 1x3P 2.54mm 2.5mm 3A 3P 3mm 6mm Black Brass Gold Pin Header Through Hole Plugin,P=2.54mm Pin Headers ROHS",Pin Headers,,C49257,https://jlcpcb.com/partdetail/50265-2_54_1_3P/C49257,Extended,4,4 JLCPCB,0.0644
"R2,R1",,5.1K,0402,,Select by System,0402WGF5101TCE,UNI-ROYAL(Uniroyal Elec),0402,-55?~+155? 5.1k? 50V 62.5mW Thick Film Resistor ±1% ±100ppm/? 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C25905,https://jlcpcb.com/partdetail/26648-0402WGF5101TCE/C25905,Basic,4,4 JLCPCB,0.002
"R3,R4",,27,0402,,Select by System,0402WGF270JTCE,UNI-ROYAL(Uniroyal Elec),0402,-55?~+155? 27? 50V 62.5mW Thick Film Resistor ±1% ±100ppm/? 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C25100,https://jlcpcb.com/partdetail/25843-0402WGF270JTCE/C25100,Extended,20,20 JLCPCB,0.012
"R6,R5",,1K,0402,,Select by System,0402WGF1001TCE,UNI-ROYAL(Uniroyal Elec),0402,-55?~+155? 1k? 50V 62.5mW Thick Film Resistor ±1% ±100ppm/? 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C11702,https://jlcpcb.com/partdetail/12256-0402WGF1001TCE/C11702,Basic,4,4 JLCPCB,0.0024
R7,,10K,0402,,Select by System,0402WGF1002TCE,UNI-ROYAL(Uniroyal Elec),0402,-55?~+155? 10k? 50V 62.5mW Thick Film Resistor ±1% ±100ppm/? 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C25744,https://jlcpcb.com/partdetail/26487-0402WGF1002TCE/C25744,Basic,2,2 JLCPCB,0.0012
SW1,,SW_Push,"SMD,4x3mm",,Select by System,TS-1088-AR02016,XUNPU,"SMD,4x3mm","-30?~+80? 1.6N 100,000 Cycles 12V 2mm 3mm 4mm 50mA Black Round Button SMD(SMT) Tab SPST Surface Mount,Vertical Without Bracket SMD,4x3mm Tactile Switches ROHS",Tactile Switches,,C720477,https://jlcpcb.com/partdetail/XUNPU-TS_1088AR02016/C720477,Basic,2,2 JLCPCB,0.0846
U1,,RP2040,LQFN-56(7x7),,Select by System,RP2040,Raspberry Pi,LQFN-56(7x7),12bit 133MHz 30 LQFN-56(7x7) Microcontrollers (MCU/MPU/SOC) ROHS,Microcontrollers (MCU/MPU/SOC),,C2040,https://jlcpcb.com/partdetail/RaspberryPi-RP2040/C2040,Extended,2,2 JLCPCB,1.833
U2,,MCP1700x-330xxTT,SOT-23,,Select by System,MCP1700T-3302E/TT,Microchip Tech,SOT-23,"-40?~+125?@(Tj) 1 1.6uA 178mV@(250mA) 250mA 3.3V 44dB@(100Hz) 6V Fixed Over Temperature Protection Positive SOT-23 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS","Voltage Regulators - Linear, Low Drop Out (LDO) Regulators",,C39051,https://jlcpcb.com/partdetail/MicrochipTech-MCP1700T_3302ETT/C39051,Extended,5,5 JLCPCB,1.9135
U4,,W25Q16JVUXIQTR,USON-8-EP(2x3),,Select by System,W25Q16JVUXIQ,Winbond Elec,USON-8-EP(2x3),"100,000 Cycles 133MHz 16Mbit 2.7V~3.6V 20 Years 3ms SPI USON-8-EP(2x3) NOR FLASH ROHS",NOR FLASH,,C2843335,https://jlcpcb.com/partdetail/WinbondElec-W25Q16JVUXIQ/C2843335,Extended,2,2 JLCPCB,1.125
Y1,,12MHz,SMD3225-4P,,Select by System,X322512MSB4SI,YXC Crystal Oscillators,SMD3225-4P,-40?~+85? 12MHz 20pF Crystal Oscillator ±10ppm ±20ppm SMD3225-4P Crystals ROHS,Crystals,,C9002,https://jlcpcb.com/partdetail/YXC_CrystalOscillators-X322512MSB4SI/C9002,Basic,2,2 JLCPCB,0.129
