Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0402_1005Metric",158.575000,-106.525000,45.000000,top
"C2","0.1uF","C_0402_1005Metric",155.175000,-117.230000,-90.000000,top
"C3","0.1uF","C_0402_1005Metric",147.925000,-112.830000,180.000000,top
"C4","0.1uF","C_0402_1005Metric",148.525000,-108.000000,180.000000,top
"C5","0.1uF","C_0402_1005Metric",157.075000,-106.750000,90.000000,top
"C6","0.1uF","C_0402_1005Metric",154.425000,-103.550000,90.000000,top
"C7","0.1uF","C_0402_1005Metric",155.385000,-102.810000,90.000000,top
"C8","0.1uF","C_0402_1005Metric",158.405000,-108.175000,0.000000,top
"C9","0.1uF","C_0402_1005Metric",159.395000,-112.580000,0.000000,top
"C10","1uF","C_0402_1005Metric",156.215000,-117.240000,-90.000000,top
"C11","0.1uF","C_0402_1005Metric",156.100000,-106.420000,90.000000,top
"C12","0.1uF","C_0402_1005Metric",153.400000,-103.545000,90.000000,top
"C13","10uF","C_0603_1608Metric",149.965000,-90.780000,180.000000,top
"C14","10uF","C_0603_1608Metric",150.975000,-96.550000,180.000000,top
"C15","33pF","C_0402_1005Metric",149.875000,-119.400000,-90.000000,top
"C16","33pF","C_0402_1005Metric",155.300000,-119.100000,90.000000,top
"C17","0.1uF","C_0402_1005Metric",151.025000,-101.950000,180.000000,top
"J1","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",153.375000,-84.600000,180.000000,top
"J2","Conn_01x20","PinHeader_1x20_P2.54mm_Vertical",144.485000,-83.470000,0.000000,top
"J3","Conn_01x20","PinHeader_1x20_P2.54mm_Vertical",162.265000,-83.470000,0.000000,top
"J4","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",150.835000,-131.490000,90.000000,top
"R1","5.1K","R_0402_1005Metric",152.025000,-90.990000,-90.000000,top
"R2","5.1K","R_0402_1005Metric",154.765000,-90.920000,-90.000000,top
"R3","27","R_0402_1005Metric",154.050000,-106.090000,-90.000000,top
"R4","27","R_0402_1005Metric",155.100000,-106.090000,-90.000000,top
"R5","1K","R_0402_1005Metric",153.315000,-116.910000,180.000000,top
"R6","1K","R_0402_1005Metric",156.900000,-99.250000,0.000000,top
"R7","10K","R_0402_1005Metric",149.095000,-101.970000,0.000000,top
"SW1","SW_Push","SW_Push_SPST_NO_Alps_SKRK",156.425000,-95.850000,-90.000000,top
"U1","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",153.375000,-111.600000,0.000000,top
"U2","MCP1700x-330xxTT","SOT-23",150.925000,-93.650000,90.000000,top
"U4","W25Q16JVUXIQ TR","Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm",150.175000,-103.925000,0.000000,top
"Y1","12 MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",152.525000,-119.230000,180.000000,top
